cod_mun,nome_mun,date,value
3522109,ITANHAEM,2021-07-01,0.9583041849143755
3522109,ITANHAEM,2021-08-01,0.0
3522109,ITANHAEM,2021-09-01,0.0
3522109,ITANHAEM,2021-10-01,0.9583041849143755
3522109,ITANHAEM,2021-11-01,0.9583041849143755
3522109,ITANHAEM,2021-12-01,0.0
3522109,ITANHAEM,2022-01-01,0.0
3522109,ITANHAEM,2022-02-01,1.85310441316816
3522109,ITANHAEM,2022-03-01,0.0
3522109,ITANHAEM,2022-04-01,0.0
3522109,ITANHAEM,2022-05-01,0.0
3522109,ITANHAEM,2022-06-01,0.0
3522109,ITANHAEM,2022-07-01,0.0
3522109,ITANHAEM,2022-08-01,0.0
3522109,ITANHAEM,2022-09-01,0.0
3522109,ITANHAEM,2022-10-01,0.0
3522109,ITANHAEM,2022-11-01,0.0
3522109,ITANHAEM,2022-12-01,0.9265522065840799
3522109,ITANHAEM,2023-01-01,0.9265522065840799
3522109,ITANHAEM,2023-02-01,0.9265522065840799
3522109,ITANHAEM,2023-03-01,0.9265522065840799
3522109,ITANHAEM,2023-04-01,0.9265522065840799
3522109,ITANHAEM,2023-05-01,0.9265522065840799
3522109,ITANHAEM,2023-06-01,0.9265522065840799
3522109,ITANHAEM,2023-07-01,0.9265522065840799
3522109,ITANHAEM,2023-08-01,0.9265522065840799
3522109,ITANHAEM,2023-09-01,0.9265522065840799
3522109,ITANHAEM,2023-10-01,0.9265522065840799
3522109,ITANHAEM,2023-11-01,0.9265522065840799
3522109,ITANHAEM,2023-12-01,0.9265522065840799
3522158,ITAOCA,2000-01-01,0.0
3522158,ITAOCA,2000-02-01,0.0
3522158,ITAOCA,2000-03-01,0.0
3522158,ITAOCA,2000-04-01,0.0
3522158,ITAOCA,2000-05-01,0.0
3522158,ITAOCA,2000-06-01,0.0
3522158,ITAOCA,2000-07-01,0.0
3522158,ITAOCA,2000-08-01,0.0
3522158,ITAOCA,2000-09-01,0.0
3522158,ITAOCA,2000-10-01,0.0
3522158,ITAOCA,2000-11-01,0.0
3522158,ITAOCA,2000-12-01,0.0
3522158,ITAOCA,2001-01-01,0.0
3522158,ITAOCA,2001-02-01,0.0
3522158,ITAOCA,2001-03-01,0.0
3522158,ITAOCA,2001-04-01,0.0
3522158,ITAOCA,2001-05-01,0.0
3522158,ITAOCA,2001-06-01,0.0
3522158,ITAOCA,2001-07-01,0.0
3522158,ITAOCA,2001-08-01,0.0
3522158,ITAOCA,2001-09-01,0.0
3522158,ITAOCA,2001-10-01,0.0
3522158,ITAOCA,2001-11-01,0.0
3522158,ITAOCA,2001-12-01,0.0
3522158,ITAOCA,2002-01-01,0.0
3522158,ITAOCA,2002-02-01,0.0
3522158,ITAOCA,2002-03-01,0.0
3522158,ITAOCA,2002-04-01,0.0
3522158,ITAOCA,2002-05-01,0.0
3522158,ITAOCA,2002-06-01,0.0
3522158,ITAOCA,2002-07-01,0.0
3522158,ITAOCA,2002-08-01,0.0
3522158,ITAOCA,2002-09-01,0.0
3522158,ITAOCA,2002-10-01,0.0
3522158,ITAOCA,2002-11-01,0.0
3522158,ITAOCA,2002-12-01,0.0
3522158,ITAOCA,2003-01-01,0.0
3522158,ITAOCA,2003-02-01,0.0
3522158,ITAOCA,2003-03-01,0.0
3522158,ITAOCA,2003-04-01,0.0
3522158,ITAOCA,2003-05-01,0.0
3522158,ITAOCA,2003-06-01,0.0
3522158,ITAOCA,2003-07-01,0.0
3522158,ITAOCA,2003-08-01,0.0
3522158,ITAOCA,2003-09-01,0.0
3522158,ITAOCA,2003-10-01,0.0
3522158,ITAOCA,2003-11-01,0.0
3522158,ITAOCA,2003-12-01,0.0
3522158,ITAOCA,2004-01-01,0.0
3522158,ITAOCA,2004-02-01,0.0
3522158,ITAOCA,2004-03-01,0.0
3522158,ITAOCA,2004-04-01,0.0
3522158,ITAOCA,2004-05-01,0.0
3522158,ITAOCA,2004-06-01,0.0
3522158,ITAOCA,2004-07-01,0.0
3522158,ITAOCA,2004-08-01,0.0
3522158,ITAOCA,2004-09-01,0.0
3522158,ITAOCA,2004-10-01,0.0
3522158,ITAOCA,2004-11-01,0.0
3522158,ITAOCA,2004-12-01,0.0
3522158,ITAOCA,2005-01-01,0.0
3522158,ITAOCA,2005-02-01,0.0
3522158,ITAOCA,2005-03-01,0.0
3522158,ITAOCA,2005-04-01,0.0
3522158,ITAOCA,2005-05-01,0.0
3522158,ITAOCA,2005-06-01,0.0
3522158,ITAOCA,2005-07-01,0.0
3522158,ITAOCA,2005-08-01,0.0
3522158,ITAOCA,2005-09-01,0.0
3522158,ITAOCA,2005-10-01,0.0
3522158,ITAOCA,2005-11-01,0.0
3522158,ITAOCA,2005-12-01,0.0
3522158,ITAOCA,2006-01-01,0.0
3522158,ITAOCA,2006-02-01,0.0
3522158,ITAOCA,2006-03-01,0.0
3522158,ITAOCA,2006-04-01,0.0
3522158,ITAOCA,2006-05-01,0.0
3522158,ITAOCA,2006-06-01,0.0
3522158,ITAOCA,2006-07-01,0.0
3522158,ITAOCA,2006-08-01,0.0
3522158,ITAOCA,2006-09-01,0.0
3522158,ITAOCA,2006-10-01,0.0
3522158,ITAOCA,2006-11-01,0.0
3522158,ITAOCA,2006-12-01,0.0
3522158,ITAOCA,2007-01-01,0.0
3522158,ITAOCA,2007-02-01,0.0
3522158,ITAOCA,2007-03-01,0.0
3522158,ITAOCA,2007-04-01,0.0
3522158,ITAOCA,2007-05-01,0.0
3522158,ITAOCA,2007-06-01,0.0
3522158,ITAOCA,2007-07-01,0.0
3522158,ITAOCA,2007-08-01,0.0
3522158,ITAOCA,2007-09-01,0.0
3522158,ITAOCA,2007-10-01,0.0
3522158,ITAOCA,2007-11-01,0.0
3522158,ITAOCA,2007-12-01,0.0
3522158,ITAOCA,2008-01-01,0.0
3522158,ITAOCA,2008-02-01,0.0
3522158,ITAOCA,2008-03-01,0.0
3522158,ITAOCA,2008-04-01,0.0
3522158,ITAOCA,2008-05-01,0.0
3522158,ITAOCA,2008-06-01,0.0
3522158,ITAOCA,2008-07-01,0.0
3522158,ITAOCA,2008-08-01,0.0
3522158,ITAOCA,2008-09-01,0.0
3522158,ITAOCA,2008-10-01,0.0
3522158,ITAOCA,2008-11-01,0.0
3522158,ITAOCA,2008-12-01,0.0
3522158,ITAOCA,2009-01-01,0.0
3522158,ITAOCA,2009-02-01,0.0
3522158,ITAOCA,2009-03-01,0.0
3522158,ITAOCA,2009-04-01,0.0
3522158,ITAOCA,2009-05-01,0.0
3522158,ITAOCA,2009-06-01,0.0
3522158,ITAOCA,2009-07-01,0.0
3522158,ITAOCA,2009-08-01,0.0
3522158,ITAOCA,2009-09-01,0.0
3522158,ITAOCA,2009-10-01,0.0
3522158,ITAOCA,2009-11-01,0.0
3522158,ITAOCA,2009-12-01,0.0
3522158,ITAOCA,2010-01-01,0.0
3522158,ITAOCA,2010-02-01,0.0
3522158,ITAOCA,2010-03-01,0.0
3522158,ITAOCA,2010-04-01,0.0
3522158,ITAOCA,2010-05-01,0.0
3522158,ITAOCA,2010-06-01,0.0
3522158,ITAOCA,2010-07-01,0.0
3522158,ITAOCA,2010-08-01,0.0
3522158,ITAOCA,2010-09-01,0.0
3522158,ITAOCA,2010-10-01,0.0
3522158,ITAOCA,2010-11-01,0.0
3522158,ITAOCA,2010-12-01,0.0
3522158,ITAOCA,2011-01-01,0.0
3522158,ITAOCA,2011-02-01,0.0
3522158,ITAOCA,2011-03-01,0.0
3522158,ITAOCA,2011-04-01,0.0
3522158,ITAOCA,2011-05-01,0.0
3522158,ITAOCA,2011-06-01,0.0
3522158,ITAOCA,2011-07-01,0.0
3522158,ITAOCA,2011-08-01,0.0
3522158,ITAOCA,2011-09-01,0.0
3522158,ITAOCA,2011-10-01,0.0
3522158,ITAOCA,2011-11-01,0.0
3522158,ITAOCA,2011-12-01,0.0
3522158,ITAOCA,2012-01-01,0.0
3522158,ITAOCA,2012-02-01,0.0
3522158,ITAOCA,2012-03-01,0.0
3522158,ITAOCA,2012-04-01,0.0
3522158,ITAOCA,2012-05-01,0.0
3522158,ITAOCA,2012-06-01,0.0
3522158,ITAOCA,2012-07-01,0.0
3522158,ITAOCA,2012-08-01,0.0
3522158,ITAOCA,2012-09-01,0.0
3522158,ITAOCA,2012-10-01,0.0
3522158,ITAOCA,2012-11-01,0.0
3522158,ITAOCA,2012-12-01,0.0
3522158,ITAOCA,2013-01-01,0.0
3522158,ITAOCA,2013-02-01,0.0
3522158,ITAOCA,2013-03-01,0.0
3522158,ITAOCA,2013-04-01,0.0
3522158,ITAOCA,2013-05-01,0.0
3522158,ITAOCA,2013-06-01,0.0
3522158,ITAOCA,2013-07-01,0.0
3522158,ITAOCA,2013-08-01,0.0
3522158,ITAOCA,2013-09-01,0.0
3522158,ITAOCA,2013-10-01,0.0
3522158,ITAOCA,2013-11-01,0.0
3522158,ITAOCA,2013-12-01,0.0
3522158,ITAOCA,2014-01-01,0.0
3522158,ITAOCA,2014-02-01,0.0
3522158,ITAOCA,2014-03-01,0.0
3522158,ITAOCA,2014-04-01,0.0
3522158,ITAOCA,2014-05-01,0.0
3522158,ITAOCA,2014-06-01,0.0
3522158,ITAOCA,2014-07-01,0.0
3522158,ITAOCA,2014-08-01,0.0
3522158,ITAOCA,2014-09-01,0.0
3522158,ITAOCA,2014-10-01,0.0
3522158,ITAOCA,2014-11-01,0.0
3522158,ITAOCA,2014-12-01,0.0
3522158,ITAOCA,2015-01-01,0.0
3522158,ITAOCA,2015-02-01,0.0
3522158,ITAOCA,2015-03-01,0.0
3522158,ITAOCA,2015-04-01,0.0
3522158,ITAOCA,2015-05-01,0.0
3522158,ITAOCA,2015-06-01,0.0
3522158,ITAOCA,2015-07-01,0.0
3522158,ITAOCA,2015-08-01,0.0
3522158,ITAOCA,2015-09-01,0.0
3522158,ITAOCA,2015-10-01,0.0
3522158,ITAOCA,2015-11-01,0.0
3522158,ITAOCA,2015-12-01,0.0
3522158,ITAOCA,2016-01-01,0.0
3522158,ITAOCA,2016-02-01,0.0
3522158,ITAOCA,2016-03-01,0.0
3522158,ITAOCA,2016-04-01,0.0
3522158,ITAOCA,2016-05-01,0.0
3522158,ITAOCA,2016-06-01,0.0
3522158,ITAOCA,2016-07-01,0.0
3522158,ITAOCA,2016-08-01,0.0
3522158,ITAOCA,2016-09-01,0.0
3522158,ITAOCA,2016-10-01,0.0
3522158,ITAOCA,2016-11-01,0.0
3522158,ITAOCA,2016-12-01,0.0
3522158,ITAOCA,2017-01-01,0.0
3522158,ITAOCA,2017-02-01,0.0
3522158,ITAOCA,2017-03-01,0.0
3522158,ITAOCA,2017-04-01,0.0
3522158,ITAOCA,2017-05-01,0.0
3522158,ITAOCA,2017-06-01,0.0
3522158,ITAOCA,2017-07-01,0.0
3522158,ITAOCA,2017-08-01,0.0
3522158,ITAOCA,2017-09-01,0.0
3522158,ITAOCA,2017-10-01,0.0
3522158,ITAOCA,2017-11-01,0.0
3522158,ITAOCA,2017-12-01,0.0
3522158,ITAOCA,2018-01-01,0.0
3522158,ITAOCA,2018-02-01,0.0
3522158,ITAOCA,2018-03-01,0.0
3522158,ITAOCA,2018-04-01,0.0
3522158,ITAOCA,2018-05-01,0.0
3522158,ITAOCA,2018-06-01,0.0
3522158,ITAOCA,2018-07-01,0.0
3522158,ITAOCA,2018-08-01,0.0
3522158,ITAOCA,2018-09-01,30.06614552014432
3522158,ITAOCA,2018-10-01,0.0
3522158,ITAOCA,2018-11-01,0.0
3522158,ITAOCA,2018-12-01,0.0
3522158,ITAOCA,2019-01-01,0.0
3522158,ITAOCA,2019-02-01,0.0
3522158,ITAOCA,2019-03-01,0.0
3522158,ITAOCA,2019-04-01,0.0
3522158,ITAOCA,2019-05-01,0.0
3522158,ITAOCA,2019-06-01,0.0
3522158,ITAOCA,2019-07-01,0.0
3522158,ITAOCA,2019-08-01,0.0
3522158,ITAOCA,2019-09-01,0.0
3522158,ITAOCA,2019-10-01,0.0
3522158,ITAOCA,2019-11-01,0.0
3522158,ITAOCA,2019-12-01,0.0
3522158,ITAOCA,2020-01-01,0.0
3522158,ITAOCA,2020-02-01,0.0
3522158,ITAOCA,2020-03-01,0.0
3522158,ITAOCA,2020-04-01,0.0
3522158,ITAOCA,2020-05-01,0.0
3522158,ITAOCA,2020-06-01,0.0
3522158,ITAOCA,2020-07-01,0.0
3522158,ITAOCA,2020-08-01,0.0
3522158,ITAOCA,2020-09-01,0.0
3522158,ITAOCA,2020-10-01,0.0
3522158,ITAOCA,2020-11-01,0.0
3522158,ITAOCA,2020-12-01,0.0
3522158,ITAOCA,2021-01-01,0.0
3522158,ITAOCA,2021-02-01,0.0
3522158,ITAOCA,2021-03-01,0.0
3522158,ITAOCA,2021-04-01,0.0
3522158,ITAOCA,2021-05-01,0.0
3522158,ITAOCA,2021-06-01,0.0
3522158,ITAOCA,2021-07-01,0.0
3522158,ITAOCA,2021-08-01,0.0
3522158,ITAOCA,2021-09-01,0.0
3522158,ITAOCA,2021-10-01,0.0
3522158,ITAOCA,2021-11-01,0.0
3522158,ITAOCA,2021-12-01,0.0
3522158,ITAOCA,2022-01-01,0.0
3522158,ITAOCA,2022-02-01,0.0
3522158,ITAOCA,2022-03-01,0.0
3522158,ITAOCA,2022-04-01,0.0
3522158,ITAOCA,2022-05-01,0.0
3522158,ITAOCA,2022-06-01,0.0
3522158,ITAOCA,2022-07-01,0.0
3522158,ITAOCA,2022-08-01,0.0
3522158,ITAOCA,2022-09-01,0.0
3522158,ITAOCA,2022-10-01,0.0
3522158,ITAOCA,2022-11-01,0.0
3522158,ITAOCA,2022-12-01,0.0
3522158,ITAOCA,2023-01-01,0.0
3522158,ITAOCA,2023-02-01,0.0
3522158,ITAOCA,2023-03-01,0.0
3522158,ITAOCA,2023-04-01,0.0
3522158,ITAOCA,2023-05-01,0.0
3522158,ITAOCA,2023-06-01,0.0
3522158,ITAOCA,2023-07-01,0.0
3522158,ITAOCA,2023-08-01,0.0
3522158,ITAOCA,2023-09-01,0.0
3522158,ITAOCA,2023-10-01,0.0
3522158,ITAOCA,2023-11-01,0.0
3522158,ITAOCA,2023-12-01,0.0
3522208,ITAPECERICA DA SERRA,2000-01-01,1.542198403824652
3522208,ITAPECERICA DA SERRA,2000-02-01,0.7710992019123261
3522208,ITAPECERICA DA SERRA,2000-03-01,0.7710992019123261
3522208,ITAPECERICA DA SERRA,2000-04-01,0.0
3522208,ITAPECERICA DA SERRA,2000-05-01,1.542198403824652
3522208,ITAPECERICA DA SERRA,2000-06-01,3.084396807649304
3522208,ITAPECERICA DA SERRA,2000-07-01,0.0
3522208,ITAPECERICA DA SERRA,2000-08-01,1.542198403824652
3522208,ITAPECERICA DA SERRA,2000-09-01,0.7710992019123261
3522208,ITAPECERICA DA SERRA,2000-10-01,0.7710992019123261
3522208,ITAPECERICA DA SERRA,2000-11-01,0.7710992019123261
3522208,ITAPECERICA DA SERRA,2000-12-01,0.0
3522208,ITAPECERICA DA SERRA,2001-01-01,0.7434999516725032
3522208,ITAPECERICA DA SERRA,2001-02-01,0.0
3522208,ITAPECERICA DA SERRA,2001-03-01,0.0
3522208,ITAPECERICA DA SERRA,2001-04-01,0.0
3522208,ITAPECERICA DA SERRA,2001-05-01,2.230499855017509
3522208,ITAPECERICA DA SERRA,2001-06-01,0.0
3522208,ITAPECERICA DA SERRA,2001-07-01,0.0
3522208,ITAPECERICA DA SERRA,2001-08-01,1.486999903345006
3522208,ITAPECERICA DA SERRA,2001-09-01,1.486999903345006
3522208,ITAPECERICA DA SERRA,2001-10-01,0.0
3522208,ITAPECERICA DA SERRA,2001-11-01,1.486999903345006
3522208,ITAPECERICA DA SERRA,2001-12-01,0.0
3522208,ITAPECERICA DA SERRA,2002-01-01,0.7196729805976164
3522208,ITAPECERICA DA SERRA,2002-02-01,0.0
3522208,ITAPECERICA DA SERRA,2002-03-01,0.0
3522208,ITAPECERICA DA SERRA,2002-04-01,0.7196729805976164
3522208,ITAPECERICA DA SERRA,2002-05-01,0.0
3522208,ITAPECERICA DA SERRA,2002-06-01,0.0
3522208,ITAPECERICA DA SERRA,2002-07-01,0.7196729805976164
3522208,ITAPECERICA DA SERRA,2002-08-01,0.0
3522208,ITAPECERICA DA SERRA,2002-09-01,1.439345961195233
3522208,ITAPECERICA DA SERRA,2002-10-01,1.439345961195233
3522208,ITAPECERICA DA SERRA,2002-11-01,0.0
3522208,ITAPECERICA DA SERRA,2002-12-01,0.7196729805976164
3522208,ITAPECERICA DA SERRA,2003-01-01,0.0
3522208,ITAPECERICA DA SERRA,2003-02-01,0.0
3522208,ITAPECERICA DA SERRA,2003-03-01,0.6980656600559849
3522208,ITAPECERICA DA SERRA,2003-04-01,1.39613132011197
3522208,ITAPECERICA DA SERRA,2003-05-01,0.0
3522208,ITAPECERICA DA SERRA,2003-06-01,0.0
3522208,ITAPECERICA DA SERRA,2003-07-01,0.6980656600559849
3522208,ITAPECERICA DA SERRA,2003-08-01,0.6980656600559849
3522208,ITAPECERICA DA SERRA,2003-09-01,1.39613132011197
3522208,ITAPECERICA DA SERRA,2003-10-01,0.0
3522208,ITAPECERICA DA SERRA,2003-11-01,0.6980656600559849
3522208,ITAPECERICA DA SERRA,2003-12-01,0.0
3522208,ITAPECERICA DA SERRA,2004-01-01,1.313344234090476
3522208,ITAPECERICA DA SERRA,2004-02-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-03-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-04-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-05-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-06-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-07-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-08-01,1.313344234090476
3522208,ITAPECERICA DA SERRA,2004-09-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-10-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2004-11-01,1.970016351135714
3522208,ITAPECERICA DA SERRA,2004-12-01,0.6566721170452381
3522208,ITAPECERICA DA SERRA,2005-01-01,0.0
3522208,ITAPECERICA DA SERRA,2005-02-01,0.0
3522208,ITAPECERICA DA SERRA,2005-03-01,0.0
3522208,ITAPECERICA DA SERRA,2005-04-01,0.0
3522208,ITAPECERICA DA SERRA,2005-05-01,0.0
3522208,ITAPECERICA DA SERRA,2005-06-01,0.6358087487283824
3522208,ITAPECERICA DA SERRA,2005-07-01,0.0
3522208,ITAPECERICA DA SERRA,2005-08-01,1.271617497456765
3522208,ITAPECERICA DA SERRA,2005-09-01,0.0
3522208,ITAPECERICA DA SERRA,2005-10-01,1.271617497456765
3522208,ITAPECERICA DA SERRA,2005-11-01,1.271617497456765
3522208,ITAPECERICA DA SERRA,2005-12-01,0.0
3522208,ITAPECERICA DA SERRA,2006-01-01,0.0
3522208,ITAPECERICA DA SERRA,2006-02-01,0.6163746078316558
3522208,ITAPECERICA DA SERRA,2006-03-01,0.6163746078316558
3522208,ITAPECERICA DA SERRA,2006-04-01,1.232749215663312
3522208,ITAPECERICA DA SERRA,2006-05-01,1.232749215663312
3522208,ITAPECERICA DA SERRA,2006-06-01,0.6163746078316558
3522208,ITAPECERICA DA SERRA,2006-07-01,3.081873039158279
3522208,ITAPECERICA DA SERRA,2006-08-01,0.6163746078316558
3522208,ITAPECERICA DA SERRA,2006-09-01,1.849123823494967
3522208,ITAPECERICA DA SERRA,2006-10-01,1.232749215663312
3522208,ITAPECERICA DA SERRA,2006-11-01,1.232749215663312
3522208,ITAPECERICA DA SERRA,2006-12-01,0.0
3522208,ITAPECERICA DA SERRA,2007-01-01,0.0
3522208,ITAPECERICA DA SERRA,2007-02-01,0.6723683502770157
3522208,ITAPECERICA DA SERRA,2007-03-01,0.6723683502770157
3522208,ITAPECERICA DA SERRA,2007-04-01,0.6723683502770157
3522208,ITAPECERICA DA SERRA,2007-05-01,0.0
3522208,ITAPECERICA DA SERRA,2007-06-01,0.0
3522208,ITAPECERICA DA SERRA,2007-07-01,0.6723683502770157
3522208,ITAPECERICA DA SERRA,2007-08-01,0.0
3522208,ITAPECERICA DA SERRA,2007-09-01,0.0
3522208,ITAPECERICA DA SERRA,2007-10-01,0.6723683502770157
3522208,ITAPECERICA DA SERRA,2007-11-01,0.0
3522208,ITAPECERICA DA SERRA,2007-12-01,1.344736700554031
3522208,ITAPECERICA DA SERRA,2008-01-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-02-01,0.0
3522208,ITAPECERICA DA SERRA,2008-03-01,0.0
3522208,ITAPECERICA DA SERRA,2008-04-01,0.0
3522208,ITAPECERICA DA SERRA,2008-05-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-06-01,1.257055222435921
3522208,ITAPECERICA DA SERRA,2008-07-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-08-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-09-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-10-01,0.6285276112179607
3522208,ITAPECERICA DA SERRA,2008-11-01,1.257055222435921
3522208,ITAPECERICA DA SERRA,2008-12-01,0.0
3522208,ITAPECERICA DA SERRA,2009-01-01,0.0
3522208,ITAPECERICA DA SERRA,2009-02-01,1.234697468252841
3522208,ITAPECERICA DA SERRA,2009-03-01,0.6173487341264207
3522208,ITAPECERICA DA SERRA,2009-04-01,0.0
3522208,ITAPECERICA DA SERRA,2009-05-01,0.0
3522208,ITAPECERICA DA SERRA,2009-06-01,0.0
3522208,ITAPECERICA DA SERRA,2009-07-01,0.6173487341264207
3522208,ITAPECERICA DA SERRA,2009-08-01,0.6173487341264207
3522208,ITAPECERICA DA SERRA,2009-09-01,0.0
3522208,ITAPECERICA DA SERRA,2009-10-01,0.0
3522208,ITAPECERICA DA SERRA,2009-11-01,0.0
3522208,ITAPECERICA DA SERRA,2009-12-01,0.0
3522208,ITAPECERICA DA SERRA,2010-01-01,1.310495760546215
3522208,ITAPECERICA DA SERRA,2010-02-01,0.0
3522208,ITAPECERICA DA SERRA,2010-03-01,0.0
3522208,ITAPECERICA DA SERRA,2010-04-01,0.6552478802731073
3522208,ITAPECERICA DA SERRA,2010-05-01,0.6552478802731073
3522208,ITAPECERICA DA SERRA,2010-06-01,1.310495760546215
3522208,ITAPECERICA DA SERRA,2010-07-01,0.0
3522208,ITAPECERICA DA SERRA,2010-08-01,0.6552478802731073
3522208,ITAPECERICA DA SERRA,2010-09-01,1.310495760546215
3522208,ITAPECERICA DA SERRA,2010-10-01,1.310495760546215
3522208,ITAPECERICA DA SERRA,2010-11-01,0.6552478802731073
3522208,ITAPECERICA DA SERRA,2010-12-01,0.6552478802731073
3522208,ITAPECERICA DA SERRA,2011-01-01,0.6477774754816226
3522208,ITAPECERICA DA SERRA,2011-02-01,0.0
3522208,ITAPECERICA DA SERRA,2011-03-01,0.0
3522208,ITAPECERICA DA SERRA,2011-04-01,0.0
3522208,ITAPECERICA DA SERRA,2011-05-01,0.0
3522208,ITAPECERICA DA SERRA,2011-06-01,0.0
3522208,ITAPECERICA DA SERRA,2011-07-01,1.295554950963245
3522208,ITAPECERICA DA SERRA,2011-08-01,0.0
3522208,ITAPECERICA DA SERRA,2011-09-01,0.6477774754816226
3522208,ITAPECERICA DA SERRA,2011-10-01,0.6477774754816226
3522208,ITAPECERICA DA SERRA,2011-11-01,0.0
3522208,ITAPECERICA DA SERRA,2011-12-01,0.0
3522208,ITAPECERICA DA SERRA,2012-01-01,0.0
3522208,ITAPECERICA DA SERRA,2012-02-01,0.0
3522208,ITAPECERICA DA SERRA,2012-03-01,0.0
3522208,ITAPECERICA DA SERRA,2012-04-01,0.0
3522208,ITAPECERICA DA SERRA,2012-05-01,0.0
3522208,ITAPECERICA DA SERRA,2012-06-01,0.6407093934404172
3522208,ITAPECERICA DA SERRA,2012-07-01,0.0
3522208,ITAPECERICA DA SERRA,2012-08-01,0.6407093934404172
3522208,ITAPECERICA DA SERRA,2012-09-01,0.0
3522208,ITAPECERICA DA SERRA,2012-10-01,0.0
3522208,ITAPECERICA DA SERRA,2012-11-01,0.6407093934404172
3522208,ITAPECERICA DA SERRA,2012-12-01,0.0
3522208,ITAPECERICA DA SERRA,2013-01-01,0.6121337144885929
3522208,ITAPECERICA DA SERRA,2013-02-01,0.0
3522208,ITAPECERICA DA SERRA,2013-03-01,0.0
3522208,ITAPECERICA DA SERRA,2013-04-01,0.6121337144885929
3522208,ITAPECERICA DA SERRA,2013-05-01,0.0
3522208,ITAPECERICA DA SERRA,2013-06-01,0.0
3522208,ITAPECERICA DA SERRA,2013-07-01,0.6121337144885929
3522208,ITAPECERICA DA SERRA,2013-08-01,0.6121337144885929
3522208,ITAPECERICA DA SERRA,2013-09-01,1.224267428977186
3522208,ITAPECERICA DA SERRA,2013-10-01,0.0
3522208,ITAPECERICA DA SERRA,2013-11-01,0.0
3522208,ITAPECERICA DA SERRA,2013-12-01,0.0
3522208,ITAPECERICA DA SERRA,2014-01-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-02-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-03-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-04-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-05-01,1.2097237595795
3522208,ITAPECERICA DA SERRA,2014-06-01,1.2097237595795
3522208,ITAPECERICA DA SERRA,2014-07-01,1.2097237595795
3522208,ITAPECERICA DA SERRA,2014-08-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-09-01,1.2097237595795
3522208,ITAPECERICA DA SERRA,2014-10-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-11-01,0.60486187978975
3522208,ITAPECERICA DA SERRA,2014-12-01,1.2097237595795
3522208,ITAPECERICA DA SERRA,2015-01-01,1.19591475519625
3522208,ITAPECERICA DA SERRA,2015-02-01,1.19591475519625
3522208,ITAPECERICA DA SERRA,2015-03-01,1.19591475519625
3522208,ITAPECERICA DA SERRA,2015-04-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-05-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-06-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-07-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-08-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-09-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-10-01,1.19591475519625
3522208,ITAPECERICA DA SERRA,2015-11-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2015-12-01,0.5979573775981248
3522208,ITAPECERICA DA SERRA,2016-01-01,0.0
3522208,ITAPECERICA DA SERRA,2016-02-01,0.0
3522208,ITAPECERICA DA SERRA,2016-03-01,0.0
3522208,ITAPECERICA DA SERRA,2016-04-01,0.0
3522208,ITAPECERICA DA SERRA,2016-05-01,0.5913555643601829
3522208,ITAPECERICA DA SERRA,2016-06-01,0.0
3522208,ITAPECERICA DA SERRA,2016-07-01,0.5913555643601829
3522208,ITAPECERICA DA SERRA,2016-08-01,0.0
3522208,ITAPECERICA DA SERRA,2016-09-01,0.0
3522208,ITAPECERICA DA SERRA,2016-10-01,0.5913555643601829
3522208,ITAPECERICA DA SERRA,2016-11-01,0.5913555643601829
3522208,ITAPECERICA DA SERRA,2016-12-01,0.5913555643601829
3522208,ITAPECERICA DA SERRA,2017-01-01,0.0
3522208,ITAPECERICA DA SERRA,2017-02-01,0.5850450777232385
3522208,ITAPECERICA DA SERRA,2017-03-01,2.340180310892954
3522208,ITAPECERICA DA SERRA,2017-04-01,0.0
3522208,ITAPECERICA DA SERRA,2017-05-01,2.340180310892954
3522208,ITAPECERICA DA SERRA,2017-06-01,0.5850450777232385
